,noFear_noChat_avg_fitness,noFear_noChat_cat_avg_fitness,noFear_noChat_count,noFear_noChat_keep,noFear_noChat_give,noFear_noChat_steal,noFear_chat_avg_fitness,noFear_chat_cat_avg_fitness,noFear_chat_count,noFear_chat_keep,noFear_chat_give,noFear_chat_steal,fear_noChat_avg_fitness,fear_noChat_cat_avg_fitness,fear_noChat_count,fear_noChat_keep,fear_noChat_give,fear_noChat_steal,fear_chat_avg_fitness,fear_chat_cat_avg_fitness,fear_chat_count,fear_chat_keep,fear_chat_give,fear_chat_steal,homogeneous_noFear_noChat_avg_fitness,homogeneous_noFear_noChat_cat_avg_fitness,homogeneous_noFear_noChat_count,homogeneous_noFear_noChat_keep,homogeneous_noFear_noChat_give,homogeneous_noFear_noChat_steal,homogeneous_noFear_chat_avg_fitness,homogeneous_noFear_chat_cat_avg_fitness,homogeneous_noFear_chat_count,homogeneous_noFear_chat_keep,homogeneous_noFear_chat_give,homogeneous_noFear_chat_steal,homogeneous_fear_noChat_avg_fitness,homogeneous_fear_noChat_cat_avg_fitness,homogeneous_fear_noChat_count,homogeneous_fear_noChat_keep,homogeneous_fear_noChat_give,homogeneous_fear_noChat_steal,homogeneous_fear_chat_avg_fitness,homogeneous_fear_chat_cat_avg_fitness,homogeneous_fear_chat_count,homogeneous_fear_chat_keep,homogeneous_fear_chat_give,homogeneous_fear_chat_steal,mixed_noFear_noChat_avg_fitness,mixed_noFear_noChat_cat_avg_fitness,mixed_noFear_noChat_count,mixed_noFear_noChat_keep,mixed_noFear_noChat_give,mixed_noFear_noChat_steal,mixed_noFear_chat_avg_fitness,mixed_noFear_chat_cat_avg_fitness,mixed_noFear_chat_count,mixed_noFear_chat_keep,mixed_noFear_chat_give,mixed_noFear_chat_steal,mixed_fear_noChat_avg_fitness,mixed_fear_noChat_cat_avg_fitness,mixed_fear_noChat_count,mixed_fear_noChat_keep,mixed_fear_noChat_give,mixed_fear_noChat_steal,mixed_fear_chat_avg_fitness,mixed_fear_chat_cat_avg_fitness,mixed_fear_chat_count,mixed_fear_chat_keep,mixed_fear_chat_give,mixed_fear_chat_steal
0,,,,,,,,,,,,,,,,,,,,,,,,,9.424283184240934,3.74715543594436,1.0,0.390125,0.609875,-0.0,8.652976141327791,162.08681053977025,1.0,0.409,0.591,-0.0,8.634334383720349,5.551115123125783e-17,1.0,0.258,0.742,-0.0,13.827736412363157,1.1525539977963459e-07,1.0,0.797,0.203,-0.0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,10.210379532361674,1.649971560576604,1.0,0.139875,0.850125,0.01,9.722395355640847,112.08201565032336,1.0,0.057375,0.942625,-0.0,10.068192180953623,2.775557561562891e-17,1.0,0.11425,0.88575,-0.0,13.852233282045082,8.326672684688674e-17,1.0,0.253875,0.746125,-0.0,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,10.523755951437431,0.379784597040465,1.0,0.255,0.468875,0.276125,10.671250577260317,7.022160630754116e-15,1.0,0.269375,0.57075,0.159875,10.656212341306938,1.110223024625156e-16,1.0,0.283625,0.363125,0.35325,16.11947489345085,8.326672684688674e-17,1.0,0.232375,0.686875,0.08075,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,12.755943222179408,1.258299020534536e-13,1.0,0.294625,0.448375,0.257,10.989891187517006,2.339795024397517e-14,1.0,0.343,0.46875,0.18825,11.195180563547874,0.0,1.0,0.304125,0.452625,0.24325,17.598167894683577,2.775557561562891e-17,1.0,0.377125,0.469,0.153875,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,13.367479157764803,0.0,1.0,0.34425,0.577,0.07875,11.325274066328893,4.14557324659402,1.0,0.349625,0.558875,0.0915,11.571682727266642,0.0,1.0,0.325625,0.5525,0.121875,31.436247209354917,0.0,1.0,0.395,0.460375,0.144625,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,53.533108644327136,1.387778780781445e-17,1.0,0.2885,0.617,0.0945,11.66839774640956,1.395125944343276,1.0,0.32625,0.603625,0.070125,17.607044644341794,0.018541473327354,1.0,0.291375,0.623375,0.08525,37.06088915701667,3.7470027081099033e-16,1.0,0.396625,0.503,0.100375,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,56.06545838243687,0.41039977504726205,1.0,0.275875,0.672375,0.05175,11.74957472587892,1.649168473745728,1.0,0.314625,0.6435,0.041875,35.73101825337439,3.606837051250977e-14,1.0,0.266,0.673625,0.060375,45.380303998262335,71.23417280801961,,0.36875,0.573375,0.057875,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,79.93445706034781,3.330669073875469e-16,1.0,0.25725,0.697375,0.045375,13.642341730521052,0.17357718091443,1.0,0.292875,0.675375,0.03175,70.182197491696,5.551115123125783e-17,1.0,0.241125,0.71825,0.040625,69.27571694764497,86.78606556054831,,0.322625,0.648625,0.02875,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,83.9502375228192,1.2473606827092971,1.0,0.250875,0.70475,0.044375,14.667342541202885,4.163336342344337e-17,,0.2625,0.719125,0.018375,86.77414130674279,7.28583859910259e-15,,0.23125,0.718375,0.050375,79.93445706034781,5.051514762044462e-15,,0.323375,0.663625,0.013,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,99.03639044287176,5.034547473110384,1.0,0.257625,0.703625,0.03875,14.77876653802783,2.775557561562891e-17,,0.254625,0.73275,0.012625,87.84584727488885,4.5102810375396984e-15,,0.233625,0.74,0.026375,79.93445706034781,5.25968157916168e-15,,0.301125,0.68475,0.014125,,,,,,,,,,,,,,,,,,,,,,,,
